iter	Accuracy	MultiClass
0	0.68105	0.9621748316
1	0.6843125	0.8810253597
2	0.6900125	0.8244537584
3	0.7731375	0.7390438892
4	0.783875	0.6774229145
5	0.7875625	0.6297746545
6	0.792625	0.5934924162
7	0.7926625	0.5802317148
8	0.79505	0.5573127273
9	0.799075	0.537483987
10	0.8009	0.5221535755
11	0.80295	0.5112733036
12	0.8047625	0.5027954322
13	0.804825	0.4972927377
14	0.805225	0.4915103587
15	0.80625	0.4846061682
16	0.80715	0.480156478
17	0.80795	0.4752836582
18	0.808825	0.4707037026
19	0.8094625	0.4677084847
20	0.8100625	0.4642129291
21	0.81095	0.4616028545
22	0.8115375	0.4598054117
23	0.8121125	0.4577541256
24	0.8121875	0.4558129717
25	0.8125625	0.4553687019
26	0.813	0.4536334466
27	0.8130625	0.4523043003
28	0.813125	0.4518742389
29	0.8138375	0.4504583087
30	0.81405	0.4497307197
31	0.8146125	0.4483920342
32	0.8151875	0.4477460012
33	0.8152625	0.4473071221
34	0.815725	0.4463012158
35	0.817575	0.4426825699
36	0.8178	0.4420091942
37	0.818575	0.4410969763
38	0.8187125	0.4402323518
39	0.819075	0.4395072551
40	0.8193125	0.4390926912
41	0.8200125	0.4379950448
42	0.8206125	0.4367238047
43	0.820875	0.4358958017
44	0.8214	0.4352062843
45	0.8216625	0.4347163416
46	0.8219375	0.4338700145
47	0.82225	0.4331589288
48	0.8222625	0.432731305
49	0.8225375	0.4323082644
50	0.82365	0.4298590876
51	0.8238	0.4294936373
52	0.824375	0.4288796237
53	0.8257375	0.4268141255
54	0.8272125	0.4243159983
55	0.827775	0.4230634753
56	0.827925	0.42212625
57	0.8285625	0.4213352959
58	0.8286625	0.4207966668
59	0.8290375	0.4199855729
60	0.8291	0.4195198287
61	0.8297375	0.4186169902
62	0.830225	0.4179891128
63	0.830425	0.417116174
64	0.830925	0.416242989
65	0.8310875	0.4154155158
66	0.831375	0.4146595692
67	0.8316875	0.4137980112
68	0.83235	0.4130779437
69	0.8323375	0.4123912981
70	0.8327375	0.4115926544
71	0.833075	0.410813978
72	0.833475	0.4097934818
73	0.833725	0.4090225275
74	0.833975	0.4082750072
75	0.83455	0.4072998986
76	0.8349375	0.4065927488
77	0.8352125	0.4060406116
78	0.835575	0.4052186468
79	0.836075	0.4043279357
80	0.8363875	0.4038312027
81	0.8369125	0.4026503927
82	0.837275	0.4014022362
83	0.8374375	0.4009179171
84	0.8373875	0.400405238
85	0.83785	0.3996486674
86	0.8382125	0.3991516484
87	0.838575	0.3985687547
88	0.8390375	0.3977570102
89	0.8394625	0.3973854391
90	0.8396	0.3966048324
91	0.8398875	0.3959772606
92	0.840325	0.3953595853
93	0.840825	0.3943606588
94	0.8409875	0.3936477377
95	0.841325	0.3930263276
96	0.841425	0.3925401367
97	0.8422125	0.3917817414
98	0.8423	0.3910458217
99	0.8423875	0.390459771
100	0.8426	0.3902177021
101	0.842825	0.3899746943
102	0.8429875	0.3894294016
103	0.843225	0.3888465156
104	0.844375	0.3873654994
105	0.8444875	0.386934748
106	0.844625	0.3864781181
107	0.844875	0.3860050504
108	0.8448875	0.3855598394
109	0.84525	0.3849855906
110	0.8454	0.3844353989
111	0.845575	0.3835692936
112	0.8456875	0.3832677916
113	0.84595	0.3829598804
114	0.8462625	0.3823856331
115	0.84645	0.3817722812
116	0.846875	0.3810516276
117	0.8474375	0.3799929578
118	0.8481375	0.3789895175
119	0.8482875	0.3784101851
120	0.8485	0.3777815963
121	0.8488625	0.3772272002
122	0.8489	0.3766977891
123	0.8494125	0.3759000465
124	0.849775	0.3755228498
125	0.8498125	0.3750781305
126	0.84995	0.3747999191
127	0.85045	0.3742731784
128	0.8504625	0.3739208081
129	0.8506125	0.3733740104
130	0.8509875	0.3728186351
131	0.8510875	0.3724059849
132	0.8514875	0.3714237466
133	0.851775	0.3708821464
134	0.852225	0.3702612493
135	0.8524625	0.3697770463
136	0.8525625	0.3694070968
137	0.8528625	0.3689292505
138	0.8536375	0.3679882983
139	0.85395	0.3671123239
140	0.8543625	0.3668109283
141	0.8547375	0.3661854777
142	0.8549125	0.3656074697
143	0.855175	0.3651599432
144	0.8553	0.3647641449
145	0.8555875	0.3638501566
146	0.8557	0.3633016328
147	0.856125	0.3626197559
148	0.8562875	0.362238443
149	0.8564625	0.3617134203
150	0.856725	0.3612718928
151	0.8570875	0.3606306052
152	0.857375	0.3599564771
153	0.857425	0.3594656094
154	0.857675	0.3588634542
155	0.8579375	0.3582674593
156	0.8582875	0.357559011
157	0.8586875	0.35697699
158	0.85885	0.3565235901
159	0.8589	0.3560746244
160	0.8594875	0.3547819827
161	0.8597875	0.3540462325
162	0.8599875	0.3538060245
163	0.8604	0.3534124496
164	0.860925	0.3529737672
165	0.86095	0.3525472348
166	0.8611125	0.3521049913
167	0.8611125	0.3512409222
168	0.8613	0.3508149728
169	0.861575	0.3500994354
170	0.8616375	0.3497067863
171	0.86175	0.3492698866
172	0.86205	0.348758417
173	0.8621125	0.348476192
174	0.862575	0.347844022
175	0.8627625	0.3474825148
176	0.8633125	0.3466925277
177	0.8635625	0.3464152594
178	0.86375	0.3461252352
179	0.8641	0.3453588761
180	0.8646	0.3447448627
181	0.864925	0.3443173741
182	0.865075	0.3434262264
183	0.865575	0.3428314575
184	0.865925	0.3424524282
185	0.8662375	0.3418900649
186	0.8663875	0.3415280329
187	0.866525	0.341212863
188	0.8670375	0.3405883967
189	0.8672375	0.339993679
190	0.867375	0.3397798411
191	0.8674125	0.3393673451
192	0.8681	0.3383982962
193	0.8682375	0.3380316872
194	0.8683625	0.3374440467
195	0.868925	0.3364245462
196	0.86905	0.3361136556
197	0.869375	0.3353883128
198	0.8694	0.3349604501
199	0.8693625	0.3345441173
200	0.8698625	0.3340272042
201	0.8699625	0.3335561294
202	0.8702875	0.3329607278
203	0.8706375	0.3324925549
204	0.8709375	0.3318964039
205	0.8710875	0.3315876258
206	0.87155	0.331171389
207	0.8718375	0.3306883094
208	0.871975	0.3303184527
